500 3
36 41 18
6 33 9
17 53 34
7 60 31
31 51 30
28 50 43
37 1 9
35 22 4
49 17 58
53 14 39
9 4 32
37 38 23
17 55 9
45 33 6
41 47 40
56 42 55
7 54 24
11 26 13
7 46 22
45 47 28
8 11 2
24 7 12
6 18 34
35 38 29
6 54 4
50 30 31
32 36 60
57 50 38
19 42 31
41 32 16
60 2 24
46 24 6
58 31 47
40 45 11
48 54 52
58 12 16
22 51 54
59 44 30
52 29 11
56 3 29
7 49 24
60 16 57
3 50 4
38 39 40
38 7 29
11 11 39
54 47 46
42 4 45
5 16 24
54 47 19
18 17 4
2 52 26
30 17 35
57 47 42
50 33 45
47 40 3
35 40 12
14 5 17
44 10 10
23 17 25
43 51 40
32 21 17
35 10 5
11 17 18
44 10 8
45 52 49
60 59 28
52 13 47
22 8 60
25 10 11
5 22 7
15 33 32
50 22 59
29 42 14
47 2 34
33 31 39
54 36 1
7 45 50
30 5 39
58 15 26
10 38 22
51 25 4
58 8 30
13 24 51
28 42 49
38 10 28
57 19 54
40 51 27
58 11 2
54 53 34
57 54 2
21 41 22
55 16 16
19 1 27
47 43 53
12 25 60
30 24 51
51 44 16
4 30 36
45 11 2
23 1 56
53 7 34
16 53 5
34 53 46
29 12 35
32 32 49
50 17 12
8 1 45
21 53 56
20 45 18
29 54 43
43 60 53
1 37 42
34 9 38
45 51 59
30 10 59
34 10 5
25 43 50
51 5 13
13 7 17
26 22 41
59 37 4
25 22 49
8 1 45
21 41 33
45 26 37
44 38 37
5 8 13
2 24 33
57 54 25
33 59 2
37 26 42
54 18 45
54 44 48
5 36 5
42 12 2
7 49 21
54 35 4
48 59 40
11 9 58
21 6 47
11 19 3
5 9 27
38 4 49
35 9 58
8 44 38
31 57 20
14 32 24
9 17 29
49 44 11
9 21 23
57 9 13
11 52 38
45 56 53
22 12 34
54 18 14
10 36 31
49 7 26
28 34 59
50 2 27
39 39 34
22 15 43
1 41 4
60 57 28
55 49 48
25 21 5
36 23 34
27 13 23
7 10 44
49 6 7
6 36 23
60 41 26
56 55 44
36 5 12
6 47 28
19 21 10
57 52 15
10 30 55
40 58 9
58 54 41
42 59 59
54 37 26
50 40 24
34 10 7
12 10 48
56 51 42
27 14 30
19 49 11
42 24 58
34 1 31
18 16 10
49 10 8
43 26 53
9 60 28
18 7 23
58 3 11
29 1 53
50 37 36
46 5 13
55 9 35
42 55 15
55 38 39
18 3 17
60 5 29
8 31 2
15 21 23
19 4 1
58 7 20
28 16 39
56 41 8
6 4 50
42 44 3
13 5 13
38 34 21
27 57 27
6 51 17
29 38 34
37 49 5
31 19 29
57 30 24
16 12 15
23 35 8
30 13 2
26 42 57
4 33 38
46 1 24
48 37 41
40 37 17
51 32 25
54 42 46
22 40 50
26 27 39
41 26 24
45 7 19
22 59 46
32 7 47
30 14 24
30 44 55
57 16 38
36 30 35
36 16 56
8 56 52
49 48 23
41 30 1
14 25 22
28 25 35
44 4 33
5 38 46
9 46 44
24 24 33
23 19 1
38 8 41
41 55 50
55 8 49
34 38 33
10 57 14
14 5 30
6 7 44
3 21 28
12 7 31
42 44 33
47 18 27
51 57 11
53 36 57
3 53 1
38 46 51
14 34 7
59 14 16
21 24 42
59 8 16
58 1 53
20 11 42
33 34 34
4 32 1
47 43 59
21 41 2
53 24 33
11 22 5
51 8 33
11 8 59
28 12 39
40 43 59
57 18 48
6 37 52
57 17 24
40 50 45
8 34 6
22 36 15
24 29 14
46 13 20
10 45 58
36 18 19
14 44 15
54 33 39
18 23 55
55 50 28
46 33 6
58 10 32
10 15 21
23 3 13
50 44 30
33 10 52
7 31 22
52 10 39
2 39 32
25 6 50
19 39 40
40 51 58
12 44 5
23 47 15
56 38 28
10 35 35
19 51 48
22 44 7
5 34 10
49 22 15
15 43 18
30 7 42
56 59 14
1 10 40
37 43 53
26 50 24
24 49 21
6 33 9
51 10 20
17 14 9
7 45 56
33 40 4
41 46 55
23 49 9
45 56 12
40 13 42
20 60 55
58 54 8
52 51 13
32 46 31
27 56 16
34 35 6
47 21 18
45 49 20
18 11 18
41 11 56
27 34 16
4 39 30
23 45 15
18 10 60
43 58 21
37 25 13
50 10 7
45 15 4
