100 3
44 10 44
60 52 31
39 23 12
14 56 34
15 43 42
51 58 25
9 60 17
59 47 35
41 11 44
49 22 11
20 3 46
59 25 22
45 14 20
59 12 25
17 28 31
49 7 39
26 57 24
23 19 50
20 8 17
32 27 40
6 11 52
48 49 12
6 1 10
50 53 43
14 14 57
41 8 22
10 23 41
24 19 25
30 13 37
50 32 35
33 42 38
19 55 50
26 23 8
31 57 38
35 10 40
39 3 25
27 29 24
37 43 34
37 4 52
47 29 38
7 9 49
1 23 37
33 41 7
12 41 43
43 46 59
29 37 37
9 27 8
58 53 50
16 37 38
59 39 20
43 52 16
13 10 39
2 21 13
22 52 48
46 28 55
31 17 29
21 19 17
9 44 14
16 52 58
56 43 5
32 44 36
39 46 38
14 3 44
17 16 21
54 39 54
34 27 26
2 6 58
44 1 49
35 56 46
53 7 12
52 43 38
49 10 28
12 19 48
26 32 3
30 35 30
53 17 47
51 43 32
5 26 28
39 26 35
50 28 14
45 1 38
23 2 18
56 26 19
30 54 54
59 27 4
24 21 10
8 21 43
45 48 4
5 40 51
4 45 28
45 10 27
44 45 35
60 16 27
21 29 2
40 60 36
6 30 9
18 7 19
55 1 32
34 18 10
16 60 15
